id,collection_id,name,sku,description,size,cost_price,sale_price,discount_percentage,discount_active,tax_percentage,status
110,7,Merve,FCZ-08,ZUMRA LUXE,S,22999.00,22999.00,0.00,0,0.00,active
111,7,Merve,FCZ-08,ZUMRA LUXE,M,22999.00,22999.00,0.00,0,0.00,active
112,7,Merve,FCZ-08,ZUMRA LUXE,L,22999.00,22999.00,0.00,0,0.00,active
113,7,Merve,FCZ-08,ZUMRA LUXE,XL,22999.00,22999.00,0.00,0,0.00,active
114,6,Zest Green,TSML-250703,MONAR LUXE,S,13450.00,13450.00,0.00,0,0.00,active
115,6,Zest Green,TSML-250703,MONAR LUXE,M,13450.00,13450.00,0.00,0,0.00,active
116,6,Zest Green,TSML-250703,MONAR LUXE,L,13450.00,13450.00,0.00,0,0.00,active
117,6,Zest Green,TSML-250703,MONAR LUXE,XL,13450.00,13450.00,0.00,0,0.00,active
118,6,Velvet Plum,TSML-250704,MONAR LUXE,S,13450.00,13450.00,0.00,0,0.00,active
119,6,Velvet Plum,TSML-250704,MONAR LUXE,M,13450.00,13450.00,0.00,0,0.00,active
120,6,Velvet Plum,TSML-250704,MONAR LUXE,L,13450.00,13450.00,0.00,0,0.00,active
121,6,Velvet Plum,TSML-250704,MONAR LUXE,XL,13450.00,13450.00,0.00,0,0.00,active
122,6,Oceanic Jade,TSML-250705,MONAR LUXE,S,13450.00,13450.00,0.00,0,0.00,active
123,6,Oceanic Jade,TSML-250705,MONAR LUXE,M,13450.00,13450.00,0.00,0,0.00,active
124,6,Oceanic Jade,TSML-250705,MONAR LUXE,L,13450.00,13450.00,0.00,0,0.00,active
125,6,Oceanic Jade,TSML-250705,MONAR LUXE,XL,13450.00,13450.00,0.00,0,0.00,active
126,6,Aqua Bloom,TSML-250706,MONAR LUXE,S,13450.00,13450.00,0.00,0,0.00,active
127,6,Aqua Bloom,TSML-250706,MONAR LUXE,M,13450.00,13450.00,0.00,0,0.00,active
128,6,Aqua Bloom,TSML-250706,MONAR LUXE,L,13450.00,13450.00,0.00,0,0.00,active
129,6,Aqua Bloom,TSML-250706,MONAR LUXE,XL,13450.00,13450.00,0.00,0,0.00,active
130,6,Midnight,TSML-250707,MONAR LUXE,S,13450.00,13450.00,0.00,0,0.00,active
131,6,Midnight,TSML-250707,MONAR LUXE,M,13450.00,13450.00,0.00,0,0.00,active
132,6,Midnight,TSML-250707,MONAR LUXE,L,13450.00,13450.00,0.00,0,0.00,active
133,8,Linaah (Frock),FW25-0601,1 PCS FROCK,S,5990.00,5990.00,0.00,0,0.00,active
134,8,Linaah (Frock),FW25-0601,1 PCS FROCK,M,5990.00,5990.00,0.00,0,0.00,active
135,8,Linaah (Frock),FW25-0601,1 PCS FROCK,L,5990.00,5990.00,0.00,0,0.00,active
136,8,Linaah (Frock),FW25-0601,1 PCS FROCK,XL,5990.00,5990.00,0.00,0,0.00,active
137,8,Inaaya (Western),FW25-01001,2 PCS WESTERN,S,7550.00,7550.00,0.00,0,0.00,active
138,8,Inaaya (Western),FW25-01001,2 PCS WESTERN,M,7550.00,7550.00,0.00,0,0.00,active
139,8,Inaaya (Western),FW25-01001,2 PCS WESTERN,L,7550.00,7550.00,0.00,0,0.00,active
140,8,Inaaya (Western),FW25-01001,2 PCS WESTERN,XL,7550.00,7550.00,0.00,0,0.00,active
