id,name,description,discount_percentage,discount_active,status,created_at,updated_at
1,"FUSION WAVES","2-PIECE PRINT",35.00,1,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
2,Palette,"2-PIECE SOLID",35.00,1,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
3,Zar,"2-PIECE Jaquard",35.00,1,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
4,"ESSENTIAL LUXE",Trouser,35.00,1,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
5,ESSENTIAL,Trouser,35.00,1,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
6,Shireen,"MONAR LUXE",35.00,1,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
7,Zumra,"ZUMRA LUXE",35.00,1,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
8,"Fusion Waves","1 PCS FROCK",35.00,1,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
