id,collection_id,name,sku,description,size,hs_code,cost_price,sale_price,discount_percentage,discount_active,tax_percentage,status,created_at,updated_at
1,1,Nooraya,FW25-0150-S,"2-PIECE PRINT",S,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
2,1,Nooraya,FW25-0150-M,"2-PIECE PRINT",M,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
3,1,Nooraya,FW25-0150-L,"2-PIECE PRINT",L,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
4,1,Nooraya,FW25-0150-XL,"2-PIECE PRINT",XL,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
5,1,Aleeza,FW25-0160-S,"2-PIECE PRINT",S,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
6,1,Aleeza,FW25-0160-M,"2-PIECE PRINT",M,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
7,1,Aleeza,FW25-0160-L,"2-PIECE PRINT",L,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
8,1,Aleeza,FW25-0160-XL,"2-PIECE PRINT",XL,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
9,1,Sereneh,FW25-0140-S,"2-PIECE PRINT",S,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
10,1,Sereneh,FW25-0140-M,"2-PIECE PRINT",M,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
11,1,Sereneh,FW25-0140-L,"2-PIECE PRINT",L,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
12,1,Sereneh,FW25-0140-XL,"2-PIECE PRINT",XL,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
13,1,Aabroo,FW25-0130-S,"2-PIECE PRINT",S,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
14,1,Aabroo,FW25-0130-M,"2-PIECE PRINT",M,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
15,1,Aabroo,FW25-0130-L,"2-PIECE PRINT",L,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
16,1,Aabroo,FW25-0130-XL,"2-PIECE PRINT",XL,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
17,1,Elaya,FW25-0120-S,"2-PIECE PRINT",S,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
18,1,Elaya,FW25-0120-M,"2-PIECE PRINT",M,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
19,1,Elaya,FW25-0120-L,"2-PIECE PRINT",L,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
20,1,Elaya,FW25-0120-XL,"2-PIECE PRINT",XL,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
21,1,Naaz,FW25-0110-S,"2-PIECE PRINT",S,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
22,1,Naaz,FW25-0110-M,"2-PIECE PRINT",M,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
23,1,Naaz,FW25-0110-L,"2-PIECE PRINT",L,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
24,1,Naaz,FW25-0110-XL,"2-PIECE PRINT",XL,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
25,1,Inaaya,FW25-0100-S,"2-PIECE PRINT",S,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
26,1,Inaaya,FW25-0100-M,"2-PIECE PRINT",M,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
27,1,Inaaya,FW25-0100-L,"2-PIECE PRINT",L,,6250.00,6250.00,0.00,0,0.00,active,"2025-07-19 23:11:35","2025-07-19 23:11:35"
