BarCode,Product Name,SKU,Collection,SIZE,Sale Price,Cost Price,Collection Description,Collection Discount,Tax Percentage,STATUS
5071502886,FEROZA,TS-G-11,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502887,FEROZA,TS-G-11,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502888,FEROZA,TS-G-11,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502889,LALARUKH,TS-G-12,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502890,LALARUKH,TS-G-12,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502891,LALARUKH,TS-G-12,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502892,LALARUKH,TS-G-12,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502893,SUMBAL,TS-G-13,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502894,SUMBAL,TS-G-13,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502895,SUMBAL,TS-G-13,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502896,SUMBAL,TS-G-13,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502897,GULBAHAR,TS-G-14,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502898,GULBAHAR,TS-G-14,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502899,NAZNEEN,TS-G-16,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502900,NAZNEEN,TS-G-16,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502901,NAZNEEN,TS-G-16,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502902,NAZNEEN,TS-G-16,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502903,Solid Beige,SSP-01,Palette,S,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502904,Solid Beige,SSP-01,Palette,M,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502905,Solid Beige,SSP-01,Palette,M,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502906,Solid Beige,SSP-01,Palette,M,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502907,Solid Beige,SSP-01,Palette,L,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
