BarCode,Product Name,SKU,Collection,SIZE,Sale Price,Cost Price,Collection Description,Collection Discount,Tax Percentage,STATUS
5071502050,Inaaya M,FW25-0100,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502051,Inaaya L,FW25-0100,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502052,Inaaya XL,FW25-0100,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502053,Inaaya S,FW25-0100,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502054,Inaaya M,FW25-0100,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502055,Inaaya L,FW25-0100,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502056,Inaaya XL,FW25-0100,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502057,Yalina S,FW25-090,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502058,Yalina M,FW25-090,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502059,Yalina L,FW25-090,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502060,Yalina XL,FW25-090,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502061,Yalina S,FW25-090,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502062,Yalina M,FW25-090,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502063,Yalina L,FW25-090,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502064,Yalina XL,FW25-090,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502065,Zareen S,FW25-080,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502066,Zareen M,FW25-080,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502067,Zareen L,FW25-080,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502068,Zareen XL,FW25-080,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502069,Zareen S,FW25-080,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502070,Zareen M,FW25-080,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502071,Zareen L,FW25-080,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502072,Zareen XL,FW25-080,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502073,Silaah S,FW25-070,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502074,Silaah M,FW25-070,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502075,Silaah L,FW25-070,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502076,Silaah XL,FW25-070,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502077,Silaah S,FW25-070,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502078,Silaah M,FW25-070,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502080,Silaah XL,FW25-070,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502081,Linaah S,FW25-060,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502082,Linaah M,FW25-060,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502083,Linaah L,FW25-060,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502084,Linaah XL,FW25-060,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502085,Linaah S,FW25-060,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502086,Linaah M,FW25-060,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502087,Linaah L,FW25-060,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
